Step,baseline.log,pre.log,post.log
500,56.61,55.72,55.72
1000,49.93,50.13,50.13
1500,45.33,46.09,46.09
2000,35.25,43.06,43.06
2500,28.44,40.5,40.5
3000,25.79,36.75,36.75
3500,23.77,31.8,31.8
4000,22.4,28.4,28.4
4500,21.26,25.77,25.77
5000,19.87,23.99,23.99
5500,18.8,22.52,22.52
6000,17.61,21.23,21.23
6500,16.55,19.97,19.97
7000,15.42,19.01,19.01
7500,14.26,17.93,17.93
8000,13.3,16.74,16.74
8500,12.62,15.4,15.4
9000,12.25,14.38,14.38
9500,11.83,13.34,13.34
10000,11.48,12.7,12.7
10500,11.19,12.07,12.07
11000,10.82,11.64,11.64
11500,10.69,11.4,11.4
12000,10.58,11.09,11.09
12500,10.41,10.9,10.9
13000,10.24,10.69,10.69
13500,10.05,10.45,10.45
14000,9.97,10.22,10.22
14500,9.84,10.06,10.06
15000,9.75,9.92,9.92
15500,9.6,9.93,9.93
16000,9.41,9.68,9.68
16500,9.42,9.63,9.63
17000,9.41,9.63,9.63
17500,9.3,9.46,9.46
18000,9.22,9.42,9.42
18500,9.25,9.41,9.41
19000,9.12,9.28,9.28
19500,8.97,9.09,9.09
20000,8.92,9.1,9.1
20500,8.92,9.06,9.06
21000,8.95,9.13,9.13
21500,8.92,8.95,8.95
22000,8.86,8.95,8.95
22500,8.81,8.97,8.97
23000,8.75,8.84,8.84
23500,8.7,8.75,8.75
24000,8.66,8.78,8.78
24500,8.59,8.76,8.76
25000,8.68,8.82,8.82
25500,8.63,8.73,8.73
26000,8.57,8.62,8.62
26500,8.65,8.62,8.62
27000,8.55,8.51,8.51
27500,8.53,8.59,8.59
28000,8.42,8.47,8.47
28500,8.41,8.42,8.42
29000,8.38,8.45,8.45
29500,8.44,8.47,8.47
30000,8.44,8.4,8.4
30500,8.39,8.41,8.41
31000,8.34,8.31,8.31
31500,8.39,8.34,8.34
32000,8.23,8.21,8.21
32500,8.19,8.24,8.24
33000,8.33,8.28,8.28
33500,8.33,8.35,8.35
34000,8.33,8.32,8.32
34500,8.27,8.34,8.34
35000,8.24,8.24,8.24
35500,8.2,8.2,8.2
36000,8.12,8.14,8.14
36500,8.11,8.15,8.15
37000,8.25,8.31,8.31
37500,8.27,8.2,8.2
38000,8.13,8.17,8.17
38500,8.23,8.18,8.18
39000,8.1,8.09,8.09
39500,8.11,8.09,8.09
40000,8.15,8.09,8.09
40500,8.01,8.05,8.05
